UserID,Gender,Age,Occupation,Area
1,female,<18,K-12 student,Royal Oak
2,male,56+,self-employed,Marrero
3,male,25-34,scientist,Saint Paul
4,male,45-49,executive/managerial,Newtonville
5,male,25-34,writer,Minneapolis
6,female,50-55,homemaker,Saint Paul
7,male,35-44,academic/educator,Danbury
8,male,25-34,programmer,Springfield Gardens
9,male,25-34,technician/engineer,Peoria
10,female,35-44,academic/educator,Sonora
11,female,25-34,academic/educator,Buxton
12,male,25-34,programmer,Winter Park
13,male,45-49,academic/educator,Bakersfield
14,male,35-44,other,Elmhurst
15,male,25-34,executive/managerial,Charlottesville
16,female,35-44,other,Patuxent River
17,male,50-55,academic/educator,Modesto
18,female,18-24,clerical/admin,Sacramento
19,male,<18,K-12 student,Royal Oak
20,male,25-34,sales/marketing,Saint Paul
21,male,18-24,self-employed,West Richland
22,male,18-24,scientist,Madison
23,male,35-44,other,Los Angeles
24,female,25-34,executive/managerial,New York
25,male,18-24,college/grad student,Worcester
26,male,25-34,executive/managerial,Midlothian
27,male,25-34,lawyer,Philadelphia
28,female,25-34,academic/educator,Rochester
29,male,35-44,executive/managerial,West Palm Beach
30,female,35-44,executive/managerial,Philadelphia
31,male,56+,executive/managerial,New Canaan
32,female,25-34,other,Malvern
33,male,45-49,clerical/admin,Minneapolis
34,female,18-24,other,Brighton
35,male,45-49,academic/educator,Wellesley
36,male,25-34,clerical/admin,San Francisco
37,female,25-34,homemaker,Overland Park
38,female,18-24,college/grad student,Boston
39,male,18-24,college/grad student,Champaign
40,male,45-49,other,Mamaroneck
41,female,18-24,college/grad student,Glenshaw
42,male,25-34,farmer,Lynchburg
43,male,25-34,programmer,Chicago
44,male,45-49,technician/engineer,Redmond
45,female,45-49,self-employed,San Francisco
46,male,18-24,unemployed,Longview
47,male,18-24,college/grad student,Stanford
48,male,25-34,college/grad student,San Diego
49,male,18-24,programmer,Houston
50,female,25-34,artist,Seattle
51,female,<18,K-12 student,Ossining
52,male,18-24,college/grad student,Little Rock
53,male,25-34,other,
54,male,50-55,academic/educator,Fisher
55,female,35-44,programmer,Anoka
56,male,35-44,writer,Bolingbrook
57,male,18-24,unemployed,Atlanta
58,male,25-34,artist,Atlanta
59,female,50-55,academic/educator,Minneapolis
60,male,50-55,academic/educator,North Little Rock
61,male,25-34,technician/engineer,San Jose
62,female,35-44,clerical/admin,Seattle
63,male,18-24,college/grad student,Oshkosh
64,male,18-24,academic/educator,Madison
65,male,35-44,programmer,Duluth
66,male,25-34,tradesman/craftsman,Ellsworth Afb
67,female,50-55,customer service,Villa Park
68,male,18-24,college/grad student,Madison
69,female,25-34,academic/educator,Somerville
70,male,18-24,college/grad student,Madison
71,male,25-34,sales/marketing,Campbell
72,female,45-49,other,Saint Paul
73,male,18-24,college/grad student,Madison
74,male,35-44,sales/marketing,El Cerrito
75,female,<18,K-12 student,Hopkinton
76,male,35-44,executive/managerial,Minneapolis
77,male,18-24,college/grad student,Cecil
78,female,45-49,academic/educator,Issaquah
79,female,45-49,other,Seattle
80,male,56+,academic/educator,Grant
81,female,25-34,other,Chicago
82,male,25-34,technician/engineer,Milford
83,female,25-34,artist,Oakland
84,male,18-24,college/grad student,Kenosha
85,male,18-24,college/grad student,Novato
86,female,<18,K-12 student,Plover
87,male,25-34,sales/marketing,Lake Orion
88,female,45-49,academic/educator,Arlington
89,female,56+,homemaker,Tucson
90,male,56+,retired,Tucson
91,male,35-44,executive/managerial,Palisades Park
92,female,18-24,college/grad student,Kent
93,male,25-34,technician/engineer,Sacramento
94,male,25-34,technician/engineer,Hickory
95,male,45-49,other,Everett
96,female,25-34,self-employed,Kerrville
97,female,35-44,clerical/admin,Overland Park
98,female,35-44,executive/managerial,Lithia
99,female,<18,K-12 student,West Grove
100,male,35-44,technician/engineer,Santa Rosa
101,female,18-24,clerical/admin,Fort Lauderdale
102,male,35-44,unemployed,Clarksburg
103,male,45-49,executive/managerial,San Diego
104,male,25-34,programmer,
105,male,45-49,programmer,Redondo Beach
106,female,35-44,lawyer,Amarillo
107,male,45-49,tradesman/craftsman,Saint Louis
108,male,25-34,programmer,Atlanta
109,male,45-49,scientist,Fallbrook
110,male,25-34,artist,Long Beach
111,male,35-44,scientist,Minneapolis
112,male,25-34,self-employed,Portland
113,male,18-24,programmer,Cedar Hill
114,female,25-34,artist,Boise
115,male,25-34,technician/engineer,Kannapolis
116,male,25-34,technician/engineer,Grand Rapids
117,male,25-34,technician/engineer,Fort Lauderdale
118,male,35-44,technician/engineer,Alexandria
119,female,<18,K-12 student,Angleton
120,male,25-34,lawyer,Winston-Salem
121,male,35-44,executive/managerial,Dallas
122,female,18-24,college/grad student,Stanford
123,male,35-44,homemaker,Wichita
124,male,56+,executive/managerial,Tarzana
125,male,45-49,sales/marketing,Framingham
126,male,18-24,homemaker,Seattle
127,female,45-49,clerical/admin,Sherborn
128,male,56+,doctor/health care,Knoxville
129,male,25-34,lawyer,Sterling
130,male,35-44,technician/engineer,Ankeny
131,male,18-24,college/grad student,New Haven
