UserID,Gender,Age,Occupation
1,female,<18,K-12 student
2,male,56+,self-employed
3,male,25-34,scientist
4,male,45-49,executive/managerial
5,male,25-34,writer
6,female,50-55,homemaker
7,male,35-44,academic/educator
8,male,25-34,programmer
9,male,25-34,technician/engineer
10,female,35-44,academic/educator
11,female,25-34,academic/educator
12,male,25-34,programmer
13,male,45-49,academic/educator
14,male,35-44,other
15,male,25-34,executive/managerial
16,female,35-44,other
17,male,50-55,academic/educator
18,female,18-24,clerical/admin
19,male,<18,K-12 student
20,male,25-34,sales/marketing
21,male,18-24,self-employed
22,male,18-24,scientist
23,male,35-44,other
24,female,25-34,executive/managerial
25,male,18-24,college/grad student
26,male,25-34,executive/managerial
27,male,25-34,lawyer
28,female,25-34,academic/educator
29,male,35-44,executive/managerial
30,female,35-44,executive/managerial
31,male,56+,executive/managerial
32,female,25-34,other
33,male,45-49,clerical/admin
34,female,18-24,other
35,male,45-49,academic/educator
36,male,25-34,clerical/admin
37,female,25-34,homemaker
38,female,18-24,college/grad student
39,male,18-24,college/grad student
40,male,45-49,other
41,female,18-24,college/grad student
42,male,25-34,farmer
43,male,25-34,programmer
44,male,45-49,technician/engineer
45,female,45-49,self-employed
46,male,18-24,unemployed
47,male,18-24,college/grad student
48,male,25-34,college/grad student
49,male,18-24,programmer
50,female,25-34,artist
51,female,<18,K-12 student
52,male,18-24,college/grad student
53,male,25-34,other
54,male,50-55,academic/educator
55,female,35-44,programmer
56,male,35-44,writer
57,male,18-24,unemployed
58,male,25-34,artist
59,female,50-55,academic/educator
60,male,50-55,academic/educator
61,male,25-34,technician/engineer
62,female,35-44,clerical/admin
63,male,18-24,college/grad student
64,male,18-24,academic/educator
65,male,35-44,programmer
66,male,25-34,tradesman/craftsman
67,female,50-55,customer service
68,male,18-24,college/grad student
69,female,25-34,academic/educator
70,male,18-24,college/grad student
71,male,25-34,sales/marketing
72,female,45-49,other
73,male,18-24,college/grad student
74,male,35-44,sales/marketing
75,female,<18,K-12 student
76,male,35-44,executive/managerial
77,male,18-24,college/grad student
78,female,45-49,academic/educator
79,female,45-49,other
80,male,56+,academic/educator
81,female,25-34,other
82,male,25-34,technician/engineer
83,female,25-34,artist
84,male,18-24,college/grad student
85,male,18-24,college/grad student
86,female,<18,K-12 student
87,male,25-34,sales/marketing
88,female,45-49,academic/educator
89,female,56+,homemaker
90,male,56+,retired
91,male,35-44,executive/managerial
92,female,18-24,college/grad student
93,male,25-34,technician/engineer
94,male,25-34,technician/engineer
95,male,45-49,other
96,female,25-34,self-employed
97,female,35-44,clerical/admin
98,female,35-44,executive/managerial
99,female,<18,K-12 student
100,male,35-44,technician/engineer
101,female,18-24,clerical/admin
102,male,35-44,unemployed
103,male,45-49,executive/managerial
104,male,25-34,programmer
105,male,45-49,programmer
106,female,35-44,lawyer
107,male,45-49,tradesman/craftsman
108,male,25-34,programmer
109,male,45-49,scientist
110,male,25-34,artist
111,male,35-44,scientist
112,male,25-34,self-employed
113,male,18-24,programmer
114,female,25-34,artist
115,male,25-34,technician/engineer
116,male,25-34,technician/engineer
117,male,25-34,technician/engineer
118,male,35-44,technician/engineer
119,female,<18,K-12 student
120,male,25-34,lawyer
121,male,35-44,executive/managerial
122,female,18-24,college/grad student
123,male,35-44,homemaker
124,male,56+,executive/managerial
125,male,45-49,sales/marketing
126,male,18-24,homemaker
127,female,45-49,clerical/admin
128,male,56+,doctor/health care
129,male,25-34,lawyer
130,male,35-44,technician/engineer
131,male,18-24,college/grad student
132,male,25-34,technician/engineer
133,female,25-34,other
134,male,25-34,other
135,male,18-24,college/grad student
136,male,18-24,artist
